"**Figure 2 | Mean residence time (MRT) and soil carbon (SOC) storage do not vary with mean annual temperature (MAT). a-h**, Effects of MAT on SOC MRT (**a-d**; means; *y*-axis scale varies) and SOC stocks (**e-h**; means ±1 s.e.m.; *y*-axis scale varies) for 0-10, 10-30, 30-50 and 50-91.5 cm soil depths in tropical montane forest in Hawaii. No error bars are provided for radiocarbon analyses as they were performed on one composite sample per site and depth. Regression analyses revealed that none of the relationships was significant, and so dashed lines represent means across all plots along the MAT gradient (*n*=9).",,,,,,,
x,y,y-value SE difference,x value unit,y value unit,graph label,depth (cm),Mean across MAT gradient
12.99,479.5,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
13.80,70.18,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
15.10,135.7,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
15.5,42.11,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
16.10,140.4,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
16.10,23.39,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
16.70,121.6,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
17.30,126.3,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
18.20,451.5,-,MAT (°C),Mean residence time (yr),a,0-10,177.8
13,2617,-,MAT (°C),Mean residence time (yr),b,10-30,1830
13.79,887.2,-,MAT (°C),Mean residence time (yr),b,10-30,1830
15.09,3505,-,MAT (°C),Mean residence time (yr),b,10-30,1830
15.49,1773,-,MAT (°C),Mean residence time (yr),b,10-30,1830
16.10,1111,-,MAT (°C),Mean residence time (yr),b,10-30,1830
16.10,903.2,-,MAT (°C),Mean residence time (yr),b,10-30,1830
17.30,978.8,-,MAT (°C),Mean residence time (yr),b,10-30,1830
18.19,3570,-,MAT (°C),Mean residence time (yr),b,10-30,1830
13,5149,-,MAT (°C),Mean residence time (yr),c,30-50,4074
13.80,2818,-,MAT (°C),Mean residence time (yr),c,30-50,4074
15.10,5473,-,MAT (°C),Mean residence time (yr),c,30-50,4074
16.10,3791,-,MAT (°C),Mean residence time (yr),c,30-50,4074
16.10,2635,-,MAT (°C),Mean residence time (yr),c,30-50,4074
16.70,3020,-,MAT (°C),Mean residence time (yr),c,30-50,4074
17.29,1986,-,MAT (°C),Mean residence time (yr),c,30-50,4074
18.19,7419,-,MAT (°C),Mean residence time (yr),c,30-50,4074
13,10412,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
13.80,5611.8,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
15.10,7329.4,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
15.5,8623.5,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
16.10,8576.5,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
16.10,5211.8,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
16.70,9988.2,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
17.30,3870.6,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
18.20,13024,-,MAT (°C),Mean residence time (yr),d,50-91.5,8082.4
12.98,4067.5,4490.8,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
13.83,3073.6,-,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
15.08,3699.4,4122.7,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
15.54,3625.8,3883.4,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
16.11,2319.0,2595.1,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
16.11,4122.7,-,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
16.71,3220.9,3552.1,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
17.29,4343.6,5006.1,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
18.16,2797.5,3294.5,MAT (°C),Soil organic carbon (g C m-2),e,0-10,3460.4
12.97,7675.3,9526.0,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
13.83,6915.6,7889.6,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
15.08,5805.2,6506.5,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
15.54,7051.9,7714.3,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
16.11,6974.0,7694.8,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
16.11,6233.8,6779.2,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
16.71,8357.1,9545.5,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
17.29,6681.8,7266.2,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
18.17,5376.6,6292.2,MAT (°C),Soil organic carbon (g C m-2),f,10-30,6798.7
12.97,5574.2,6262.0,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
13.83,5476.0,7008.7,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
15.09,5385.1,5751.1,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
15.54,6301.3,6910.5,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
16.11,6203.1,6674.7,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
16.70,5731.4,6026.2,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
17.29,5869.0,6556.8,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
18.16,4080.8,4473.8,MAT (°C),Soil organic carbon (g C m-2),g,30-50,5653.1
12.97,7948.5,8740.2,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
13.83,6562.9,8047.4,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
15.08,10200.0,10892.8,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
15.54,11511.3,12080.4,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
16.12,10719.6,11981.4,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
16.12,11437.1,-,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
16.72,9729.9,11164.9,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
17.29,11016.5,12006.12,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
18.17,7181.4,7874.2,MAT (°C),Soil organic carbon (g C m-2),h,50-91.5,9581.4
